support,itemsets
0.09965102753005041,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.13183404420317954,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_tracado_via_Reta'})"
0.10236525785188057,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.08452888716556806,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tracado_via_Reta', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.09616130283055448,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido'})"
0.07677394338891043,"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.05816207832493214,"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.053896859247770455,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.18805738658394727,"frozenset({'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_tracado_via_Reta'})"
0.1504459092671578,"frozenset({'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta', 'ctx_uso_solo_Não'})"
0.1430787126793331,"frozenset({'ctx_tipo_pista_Simples', 'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta'})"
0.12175261729352463,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta'})"
0.12175261729352463,"frozenset({'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.13338503295851106,"frozenset({'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.13105854982551376,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_tracado_via_Reta'})"
0.10430399379604498,"frozenset({'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.09461031407522295,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.11205893757270259,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_tracado_via_Reta'})"
0.08840635905389686,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta'})"
0.08569212873206669,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta', 'ctx_uso_solo_Não'})"
0.08259015122140365,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'desfecho_Ferido'})"
0.07716169057774332,"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.06242729740209384,"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.05777433113609926,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.10934470725087243,"frozenset({'desfecho_Ferido', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.08336564559906941,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.08259015122140365,"frozenset({'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
