antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,antecedents_str,consequents_str,n_antecedentes,explicacao_natural
"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.13955592105263157,0.33536184210526315,0.0578125,0.41426045963464947,1.2352641464338738,0.011010769239092805,"ctx_fase_dia_Plena_Noite, ctx_tracado_via_Reta",desfecho_AltaGravidade,2,"Quando fase do dia=Plena Noite E tracado da via=Reta, entao alta gravidade. [Suporte: 5.8% | Confianca: 41.4% | Lift: 1.24]"
"frozenset({'ctx_uso_solo_Não', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.13322368421052633,0.33536184210526315,0.05513980263157895,0.41388888888888886,1.2341561767751075,0.010461662482686977,"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando clima=Céu Claro E fase do dia=Plena Noite E entorno=rural, entao alta gravidade. [Suporte: 5.5% | Confianca: 41.4% | Lift: 1.23]"
"frozenset({'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta', 'ctx_tipo_acidente_Colisão_transversal'})",frozenset({'desfecho_AltaGravidade'}),0.034827302631578946,0.33536184210526315,0.014391447368421052,0.4132231404958678,1.2321710123662952,0.0027116990023372586,"ctx_tipo_acidente_Colisão_transversal, ctx_tipo_pista_Simples, ctx_tracado_via_Reta",desfecho_AltaGravidade,3,"Quando tipo de acidente=Colisão transversal E tipo de pista=Simples E tracado da via=Reta, entao alta gravidade. [Suporte: 1.4% | Confianca: 41.3% | Lift: 1.23]"
"frozenset({'ctx_tracado_via_Reta;Declive', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.013980263157894737,0.33536184210526315,0.005756578947368421,0.4117647058823529,1.2278221734991202,0.0010681321416204986,"ctx_fase_dia_Plena_Noite, ctx_tracado_via_Reta;Declive",desfecho_AltaGravidade,2,"Quando fase do dia=Plena Noite E tracado da via=Reta;Declive, entao alta gravidade. [Suporte: 0.6% | Confianca: 41.2% | Lift: 1.23]"
"frozenset({'ctx_fim_de_semana_Sim', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.11541940789473684,0.33536184210526315,0.04745065789473684,0.4111150694691842,1.2258850526594605,0.008743392648459143,"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim",desfecho_AltaGravidade,2,"Quando fase do dia=Plena Noite E fim de semana=Sim, entao alta gravidade. [Suporte: 4.7% | Confianca: 41.1% | Lift: 1.23]"
"frozenset({'ctx_condicao_metereologica_Céu_Claro', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.19773848684210527,0.33536184210526315,0.08129111842105263,0.4111041796631316,1.2258525808493577,0.014977175218576874,"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite",desfecho_AltaGravidade,2,"Quando clima=Céu Claro E fase do dia=Plena Noite, entao alta gravidade. [Suporte: 8.1% | Confianca: 41.1% | Lift: 1.23]"
"frozenset({'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.22935855263157895,0.33536184210526315,0.09420230263157894,0.41072068841878806,1.2247090660059987,0.017284195918455675,"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_pista_Simples, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando clima=Céu Claro E tipo de pista=Simples E entorno=rural, entao alta gravidade. [Suporte: 9.4% | Confianca: 41.1% | Lift: 1.22]"
"frozenset({'ctx_condicao_metereologica_Céu_Claro', 'ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.02738486842105263,0.33536184210526315,0.011225328947368421,0.40990990990990994,1.2222914429878629,0.0020414890278739623,"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_condicao_metereologica_Céu_Claro, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando causa=Acessar a via sem observar a presença dos outros veículos E clima=Céu Claro E entorno=rural, entao alta gravidade. [Suporte: 1.1% | Confianca: 41.0% | Lift: 1.22]"
"frozenset({'ctx_condicao_metereologica_Nublado', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.05748355263157895,0.33536184210526315,0.023560855263157893,0.4098712446351931,1.22217614878959,0.00428306516187673,"ctx_condicao_metereologica_Nublado, ctx_fase_dia_Plena_Noite",desfecho_AltaGravidade,2,"Quando clima=Nublado E fase do dia=Plena Noite, entao alta gravidade. [Suporte: 2.4% | Confianca: 41.0% | Lift: 1.22]"
"frozenset({'ctx_fase_dia_Plena_Noite', 'ctx_tipo_acidente_Colisão_traseira', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.03186677631578947,0.33536184210526315,0.01299342105263158,0.407741935483871,1.2158268600990367,0.002306520245412051,"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_traseira, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando fase do dia=Plena Noite E tipo de acidente=Colisão traseira E entorno=rural, entao alta gravidade. [Suporte: 1.3% | Confianca: 40.8% | Lift: 1.22]"
"frozenset({'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta'})",frozenset({'desfecho_AltaGravidade'}),0.21352796052631579,0.33536184210526315,0.08704769736842105,0.4076641632967456,1.2155949548034395,0.015438567185335872,"ctx_tipo_pista_Simples, ctx_tracado_via_Reta",desfecho_AltaGravidade,2,"Quando tipo de pista=Simples E tracado da via=Reta, entao alta gravidade. [Suporte: 8.7% | Confianca: 40.8% | Lift: 1.22]"
"frozenset({'ctx_fase_dia_Amanhecer', 'ctx_fim_de_semana_Sim'})",frozenset({'desfecho_AltaGravidade'}),0.0171875,0.33536184210526315,0.0069901315789473685,0.4066985645933014,1.2127156805920905,0.0012260999177631576,"ctx_fase_dia_Amanhecer, ctx_fim_de_semana_Sim",desfecho_AltaGravidade,2,"Quando fase do dia=Amanhecer E fim de semana=Sim, entao alta gravidade. [Suporte: 0.7% | Confianca: 40.7% | Lift: 1.21]"
"frozenset({'ctx_tipo_pista_Simples', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.38745888157894737,0.33536184210526315,0.15752467105263157,0.40655842088506844,1.212297792536153,0.027585746786270765,"ctx_tipo_pista_Simples, ctx_uso_solo_Não",desfecho_AltaGravidade,2,"Quando tipo de pista=Simples E entorno=rural, entao alta gravidade. [Suporte: 15.8% | Confianca: 40.7% | Lift: 1.21]"
"frozenset({'ctx_tracado_via_Reta', 'ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.016036184210526317,0.33536184210526315,0.00649671052631579,0.40512820512820513,1.208033098175325,0.0011187862491343487,"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_tracado_via_Reta, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando causa=Acessar a via sem observar a presença dos outros veículos E tracado da via=Reta E entorno=rural, entao alta gravidade. [Suporte: 0.6% | Confianca: 40.5% | Lift: 1.21]"
"frozenset({'ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.03791118421052632,0.33536184210526315,0.015296052631578948,0.403470715835141,1.2030907073455896,0.0025820880583448756,"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_uso_solo_Não",desfecho_AltaGravidade,2,"Quando causa=Acessar a via sem observar a presença dos outros veículos E entorno=rural, entao alta gravidade. [Suporte: 1.5% | Confianca: 40.3% | Lift: 1.20]"
"frozenset({'ctx_tracado_via_Reta', 'ctx_tipo_acidente_Colisão_transversal'})",frozenset({'desfecho_AltaGravidade'}),0.040460526315789475,0.33536184210526315,0.016324013157894737,0.4034552845528455,1.2030446935170676,0.0027550965200831036,"ctx_tipo_acidente_Colisão_transversal, ctx_tracado_via_Reta",desfecho_AltaGravidade,2,"Quando tipo de acidente=Colisão transversal E tracado da via=Reta, entao alta gravidade. [Suporte: 1.6% | Confianca: 40.3% | Lift: 1.20]"
"frozenset({'ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos', 'ctx_fim_de_semana_Sim'})",frozenset({'desfecho_AltaGravidade'}),0.02006578947368421,0.33536184210526315,0.00805921052631579,0.40163934426229514,1.1976298249704533,0.0013299104051246544,"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_fim_de_semana_Sim",desfecho_AltaGravidade,2,"Quando causa=Acessar a via sem observar a presença dos outros veículos E fim de semana=Sim, entao alta gravidade. [Suporte: 0.8% | Confianca: 40.2% | Lift: 1.20]"
"frozenset({'ctx_uso_solo_Não', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.2165296052631579,0.33536184210526315,0.08671875,0.40049373338397265,1.1942137807624098,0.014102982708621883,"ctx_fase_dia_Plena_Noite, ctx_uso_solo_Não",desfecho_AltaGravidade,2,"Quando fase do dia=Plena Noite E entorno=rural, entao alta gravidade. [Suporte: 8.7% | Confianca: 40.0% | Lift: 1.19]"
