regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_fim_de_semana_Não, ctx_tipo_pista_Simples, ctx_tracado_via_Curva => desfecho_Fatal",1,4,0.25,transitoria,1.2821,0.1049,[2026]
"ctx_causa_acidente_Velocidade_Incompatível, ctx_condicao_metereologica_Céu_Claro, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.2599,0.0974,[2023]
"ctx_condicao_metereologica_Céu_Claro, ctx_tracado_via_Curva, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.254,0.0969,[2023]
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_Fatal",1,4,0.25,transitoria,1.2456,0.1019,[2026]
"ctx_causa_acidente_Ausência_de_reação_do_condutor, ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Não => desfecho_Fatal",1,4,0.25,transitoria,1.2305,0.1007,[2026]
"ctx_causa_acidente_Ausência_de_reação_do_condutor, ctx_fim_de_semana_Não, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.2159,0.0995,[2026]
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_traseira, ctx_tipo_pista_Dupla => desfecho_Fatal",1,4,0.25,transitoria,1.2142,0.0993,[2026]
"ctx_fim_de_semana_Não, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.2035,0.093,[2023]
"ctx_fim_de_semana_Não, ctx_tracado_via_Curva, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.2035,0.093,[2023]
"ctx_causa_acidente_Velocidade_Incompatível, ctx_fim_de_semana_Não => desfecho_Fatal",1,4,0.25,transitoria,1.1983,0.098,[2026]
"ctx_condicao_metereologica_Nublado, ctx_fim_de_semana_Não, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.172,0.0906,[2023]
"ctx_causa_acidente_Velocidade_Incompatível, ctx_fase_dia_Pleno_dia => desfecho_Fatal",1,4,0.25,transitoria,1.1384,0.0931,[2026]
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_traseira => desfecho_Fatal",1,4,0.25,transitoria,1.1354,0.0929,[2026]
"ctx_condicao_metereologica_Céu_Claro, ctx_tracado_via_Reta => desfecho_Fatal",1,4,0.25,transitoria,1.1094,0.0908,[2026]
