regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_transversal, ctx_uso_solo_Não => desfecho_AltaGravidade",3,4,0.75,estavel,1.6454,0.5295,"[2023, 2025, 2026]"
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_tipo_acidente_Colisão_transversal, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,1.6425,0.5236,"[2023, 2026]"
"ctx_tipo_pista_Simples, ctx_tracado_via_Declive;Reta => desfecho_AltaGravidade",2,4,0.5,estavel,1.6399,0.5272,"[2024, 2026]"
"ctx_tipo_acidente_Colisão_transversal, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",3,4,0.75,estavel,1.555,0.5007,"[2023, 2025, 2026]"
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_fim_de_semana_Sim => desfecho_AltaGravidade",3,4,0.75,estavel,1.5372,0.4949,"[2023, 2024, 2026]"
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,1.5355,0.4897,"[2023, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Amanhecer, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.531,0.493,"[2024, 2026]"
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.5259,0.4871,"[2023, 2026]"
"ctx_condicao_metereologica_Nublado, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.5236,0.5008,"[2024, 2025]"
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite => desfecho_AltaGravidade",2,4,0.5,estavel,1.5219,0.4921,"[2025, 2026]"
"ctx_causa_acidente_Ausência_de_reação_do_condutor, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.5212,0.4853,"[2023, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_transversal, ctx_uso_solo_Não => desfecho_AltaGravidade",3,4,0.75,estavel,1.5153,0.4875,"[2023, 2024, 2026]"
"ctx_causa_acidente_Velocidade_Incompatível, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.5042,0.4904,"[2023, 2025]"
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,1.4982,0.4778,"[2023, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,1.4967,0.4829,"[2023, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Amanhecer => desfecho_AltaGravidade",2,4,0.5,estavel,1.4759,0.4755,"[2024, 2026]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_transversal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,1.4756,0.4757,"[2023, 2025, 2026]"
"ctx_tipo_pista_Simples, ctx_tracado_via_Reta;Declive => desfecho_AltaGravidade",3,4,0.75,estavel,1.4565,0.4705,"[2023, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tracado_via_Reta;Declive => desfecho_AltaGravidade",2,4,0.5,estavel,1.4556,0.4786,"[2024, 2025]"
"ctx_causa_acidente_Reação_tardia_ou_ineficiente_do_condutor, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.4466,0.4665,"[2024, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_transversal => desfecho_AltaGravidade",4,4,1.0,estavel,1.4452,0.4675,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Velocidade_Incompatível, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.4447,0.475,"[2024, 2025]"
"ctx_fase_dia_Anoitecer, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",4,4,1.0,estavel,1.4406,0.4666,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Pleno_dia, ctx_tipo_acidente_Colisão_transversal, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.4303,0.466,"[2023, 2025]"
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_lateral_sentido_oposto => desfecho_AltaGravidade",2,4,0.5,estavel,1.4281,0.4555,"[2023, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_com_objeto, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,1.4227,0.4613,"[2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",4,4,1.0,estavel,1.4224,0.4609,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",3,4,0.75,estavel,1.4158,0.4562,"[2023, 2024, 2026]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_transversal => desfecho_AltaGravidade",3,4,0.75,estavel,1.4072,0.4534,"[2023, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Saída_de_leito_carroçável, ctx_tracado_via_Curva => desfecho_AltaGravidade",2,4,0.5,estavel,1.406,0.4583,"[2023, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",3,4,0.75,estavel,1.4049,0.4535,"[2023, 2025, 2026]"
"ctx_tipo_acidente_Colisão_transversal, ctx_tracado_via_Reta => desfecho_AltaGravidade",3,4,0.75,estavel,1.4046,0.4524,"[2023, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tracado_via_Aclive;Reta => desfecho_AltaGravidade",3,4,0.75,estavel,1.404,0.4529,"[2023, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples, ctx_tracado_via_Curva => desfecho_AltaGravidade",2,4,0.5,estavel,1.4036,0.4532,"[2025, 2026]"
"ctx_fase_dia_Amanhecer, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,1.4013,0.4518,"[2023, 2024, 2026]"
"ctx_causa_acidente_Ingestão_de_álcool_pelo_condutor, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.4,0.4562,"[2023, 2025]"
ctx_condicao_metereologica_Ignorado => desfecho_AltaGravidade,2,4,0.5,estavel,1.3984,0.4548,"[2023, 2024]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_transversal, ctx_tracado_via_Reta => desfecho_AltaGravidade",3,4,0.75,estavel,1.3945,0.4513,"[2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.3936,0.445,"[2023, 2026]"
"ctx_tipo_acidente_Colisão_transversal, ctx_uso_solo_Não => desfecho_AltaGravidade",4,4,1.0,estavel,1.3866,0.4488,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",4,4,1.0,estavel,1.3854,0.449,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Amanhecer, ctx_fim_de_semana_Não, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,1.3835,0.4466,"[2025, 2026]"
"ctx_tipo_acidente_Colisão_com_objeto, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.3825,0.4456,"[2024, 2026]"
"ctx_condicao_metereologica_Nublado, ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim => desfecho_AltaGravidade",2,4,0.5,estavel,1.3746,0.4519,"[2024, 2025]"
ctx_tipo_acidente_Colisão_lateral_sentido_oposto => desfecho_AltaGravidade,2,4,0.5,estavel,1.3746,0.4419,"[2024, 2026]"
"ctx_causa_acidente_Velocidade_Incompatível, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.3722,0.4429,"[2025, 2026]"
"ctx_condicao_metereologica_Sol, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.3692,0.4501,"[2024, 2025]"
"ctx_condicao_metereologica_Nublado, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,1.3643,0.4426,"[2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",4,4,1.0,estavel,1.3571,0.4397,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Ausência_de_reação_do_condutor, ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.3546,0.4324,"[2023, 2026]"
"ctx_fim_de_semana_Não, ctx_tracado_via_Aclive;Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.3543,0.4452,"[2024, 2025]"
