regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1443,0.7101,[2023]
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1391,0.7333,[2025]
"ctx_causa_acidente_Velocidade_Incompatível, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.131,0.7069,[2024]
"ctx_causa_acidente_Pedestre_cruzava_a_pista_fora_da_faixa, ctx_fim_de_semana_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1137,0.7,[2023]
"ctx_condicao_metereologica_Chuva, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1102,0.7,[2024]
"ctx_causa_acidente_Transitar_na_contramão, ctx_fim_de_semana_Não, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1089,0.6984,[2023]
"ctx_condicao_metereologica_Chuva, ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1065,0.6988,[2024]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1034,0.6966,[2023]
ctx_causa_acidente_Pedestre_cruzava_a_pista_fora_da_faixa => desfecho_AltaGravidade,1,3,0.333,intermediaria,2.0931,0.6932,[2023]
"ctx_condicao_metereologica_Chuva, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.0907,0.6935,[2024]
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.0907,0.6935,[2024]
